date,open,high,low,close,volume
2024-10-28,123000.0,124366.6,122950.0,123055.0,336.0
2024-10-29,123600.0,123600.0,120756.1,122576.5,279.0
2024-10-30,122576.0,123180.9,121472.2,122072.8,460.0
2024-10-31,123700.0,123700.0,121600.0,122462.8,299.0
2024-11-04,123400.0,123655.1,120500.0,120883.7,255.0
2024-11-05,120500.0,121296.7,118000.8,119600.0,745.0
2024-11-06,120026.5,121865.0,120026.5,121461.5,636.0
2024-11-07,122553.6,122553.6,120261.4,120958.7,306.0
2024-11-08,121445.0,121445.0,117500.0,119285.6,653.0
2024-11-11,120399.9,125000.0,120024.2,123020.9,583.0
2024-11-12,124100.0,125500.0,120800.0,120915.0,429.0
2024-11-13,120500.0,121666.1,120161.2,120648.1,193.0
2024-11-14,120001.0,121800.0,120001.0,120662.5,224.0
2024-11-18,118000.1,121186.6,118000.1,120911.4,240.0
2024-11-19,120900.0,124080.0,120861.1,122903.4,782.0
2024-11-21,124200.0,124200.0,121769.8,123506.8,307.0
2024-11-22,123506.8,124791.0,122539.0,124568.3,338.0
2024-11-25,125000.1,126000.0,124057.0,124312.0,222.0
2024-11-26,124600.0,125676.0,124038.5,124206.5,108.0
2024-11-27,124206.5,125359.0,123071.0,124544.6,249.0
2024-11-28,124047.3,124466.6,123450.0,123658.5,175.0
2024-11-29,123658.5,125370.0,122800.0,125174.2,207.0
2024-12-02,125300.0,125456.9,124334.0,125373.0,131.0
2024-12-03,125373.0,125731.9,125000.0,125521.5,214.0
2024-12-04,125600.0,127006.3,125351.0,126850.6,229.0
2024-12-05,126850.6,131000.0,126774.4,130613.8,1248.0
2024-12-06,130800.0,132107.8,130045.7,130573.5,333.0
2024-12-09,132000.0,133075.0,131218.8,132133.6,286.0
2024-12-10,132700.0,133200.0,131725.0,132163.2,284.0
2024-12-11,132000.0,132762.0,131450.1,132442.8,139.0
2024-12-12,131001.0,133286.5,131001.0,131861.2,156.0
2024-12-13,131900.0,133405.0,130980.5,133092.7,232.0
2024-12-16,133115.8,133500.0,132264.8,132611.5,180.0
2024-12-17,132200.0,132251.0,130571.2,130922.8,199.0
2024-12-18,131200.0,131498.5,130171.8,130314.7,116.0
2024-12-19,129400.0,130157.9,129001.0,129829.0,72.0
2024-12-20,130178.0,130500.0,127700.0,128009.6,65.0
2024-12-23,128632.4,130434.4,128083.3,130337.5,109.0
2024-12-24,130028.7,131012.2,129934.0,130372.4,110.0
2024-12-26,130623.4,131400.0,130134.9,131245.2,193.0
2024-12-27,130651.4,132650.0,130651.4,131457.4,211.0
2024-12-30,130651.0,131600.0,129786.9,131089.8,45.0
2024-12-31,131000.0,131405.0,129565.0,130640.9,55.0
2025-01-01,130640.9,130640.9,129018.8,129285.9,112.0
2025-01-02,129430.5,129894.0,128000.0,129201.8,153.0
2025-01-03,129899.0,129987.4,126001.0,126420.5,258.0
2025-01-06,126950.0,126950.0,122283.4,122916.9,755.0
2025-01-07,122951.0,124029.0,120765.0,121166.0,570.0
2025-01-08,122150.0,122150.0,119100.0,119897.0,235.0
2025-01-09,120100.0,120542.6,118741.3,118915.5,466.0
2025-01-10,118500.0,119178.0,117000.0,117094.7,442.0
2025-01-13,117100.0,117100.0,112752.7,113017.3,417.0
2025-01-14,114000.0,114739.2,112692.6,114245.5,608.0
2025-01-15,114954.1,115799.0,113726.8,114169.1,288.0
2025-01-16,115200.0,115300.0,114200.0,114416.7,130.0
2025-01-17,114900.0,114900.0,113476.7,113865.9,126.0
2025-01-20,114400.0,114400.0,112227.6,113734.8,231.0
2025-01-21,114000.0,115263.5,111838.0,112110.5,301.0
2025-01-22,113088.0,113088.0,110546.8984,111538.8984,439.0
2025-01-23,111550.0,112200.0,110654.1016,111690.6016,174.0
2025-01-24,112997.9531,112997.9531,111295.0,111468.0469,162.0
2025-01-27,111598.9531,111598.9531,110100.0,111225.5,167.0
2025-01-28,111300.0,113262.5,111300.0,112869.2969,411.0
2025-01-29,112883.7031,112967.25,111694.8516,112325.3984,167.0
2025-01-30,112205.0,113593.6484,112205.0,112571.1016,165.0
2025-01-31,112022.5469,114551.3984,112022.5469,113603.2031,161.0
2025-02-01,113603.2031,114489.3984,112434.9531,114107.7031,195.0
2025-02-03,114599.9531,114800.0,113092.0,113648.6484,147.0
2025-02-04,114275.0,115000.0,113140.0,114870.4531,126.0
2025-02-05,115100.0,115350.0,114500.0,115067.9531,250.0
2025-02-06,114825.1016,115499.75,110000.0,114038.3516,1147.0
2025-02-07,111500.0469,115100.0,111500.0469,112881.25,262.0
2025-02-10,113976.9531,113976.9531,110900.0,111083.6484,420.0
2025-02-11,111799.0,111799.0,108500.0,108690.25,597.0
2025-02-12,108311.0,110899.9531,106500.0,109438.1484,363.0
2025-02-13,109500.0,110300.0469,109233.9531,109702.8516,252.0
2025-02-14,110799.0,110799.0,107867.1016,109461.1016,345.0
2025-02-17,109000.0,110221.6484,107913.8984,109915.8516,156.0
2025-02-18,110350.0,110350.0,108800.0,109051.7031,73.0
2025-02-19,109399.9531,109804.6016,108502.4531,109520.8984,316.0
2025-02-20,108951.0,110419.1484,108951.0,109925.7031,152.0
2025-02-21,110297.2031,110321.4531,108900.75,109161.0469,52.0
2025-02-24,109161.0469,109500.0,108152.0469,108879.0,125.0
2025-02-25,108924.5469,109205.0,107000.0,107172.3516,202.0
2025-02-27,107300.6016,107636.6016,105227.1484,105565.8984,225.0
2025-02-28,105748.9531,105748.9531,103816.8516,105434.2031,141.0
2025-03-03,105373.8984,106153.7969,104000.0,105095.2031,373.0
2025-03-04,105169.9531,105170.0,102500.0,102626.8516,319.0
2025-03-05,102998.75,105997.9531,100500.0,105834.0469,366.0
2025-03-06,106989.3984,108111.0,106602.0,107775.25,484.0
2025-03-07,107775.25,108716.0,107000.0,107199.5469,163.0
2025-03-10,108198.9531,108198.9531,106269.25,106557.0,139.0
2025-03-11,106649.7031,106725.1016,105547.8984,106565.75,193.0
2025-03-12,106700.0469,107425.0,106306.9531,107264.2031,275.0
